Iteration	Posterior	Likelihood	Prior	alpha_morpho	alpha_ofbeta	beta_ofbeta	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	cats[1]	cats[2]	cats[3]	cats[4]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-685.63	-618.576	-67.0548	0.2100353	1.05915	1.336452	1.379919	0.965067	1.13226	0.54676	0.560928	0.618704	1.6684	1.45995	2.02423	1.27789	1.11525	1.21875	1.09505	0.614637	1.01104	1.22047	0.590332	1.3346	0.135962	0.148797	1.37221	1.52801	0.113621	0.926167	0.446352	0.315814	0.414687	0.392102	0.912216	0.557157	0.634865	0.10635	0.902379	0.626538	0.194495	0.383632	0.544723	0.750977	0.0887133	0.221665	0.0471093	0.642512	0.000738773	0.039758	0.409338	3.55017	27.98754
10	-530.091	-464.082	-66.0089	0.2627733	0.6691671	1.672166	1.256221	0.211129	0.561918	0.644838	1.93192	0.404537	0.41602	1.22753	1.05901	0.297878	0.408609	2.34149	0.196895	0.368555	0.191113	0.283405	0.216136	0.519895	0.209155	0.3242	1.55263	3.99343	0.450235	0.120128	5.37051	0.206359	0.951503	1.30671	0.391823	0.168339	0.592715	0.0821753	0.142824	0.321009	0.129178	0.290538	0.446854	0.67136	0.0986391	0.180502	0.140095	0.580764	0.00276127	0.0760573	0.52766	3.39352	27.46462
20	-509.365	-450.023	-59.3424	0.2596812	0.6342544	1.247621	1.384499	0.0952595	0.342272	0.665599	1.44652	0.676612	0.102719	1.44442	0.150342	0.342151	0.361637	0.351654	0.0522667	0.286232	0.221467	0.277995	0.406136	0.555229	0.261629	0.59145	0.490814	2.47235	2.5709	0.101629	4.76058	0.300142	0.92065	0.561439	1.19724	0.105531	0.222966	0.0282235	0.0262862	0.347584	0.144169	0.324077	0.493633	0.722106	0.141996	0.247951	0.0722067	0.537847	0.00259399	0.0737652	0.521462	3.40218	22.73792
30	-492.269	-438.061	-54.2075	0.224187	0.3984328	1.150799	1.534265	0.105943	0.075949	0.623874	0.674236	0.597918	0.024809	0.274604	0.0832328	0.252775	0.41325	0.265354	0.0509872	0.11569	0.31234	0.150915	0.45077	0.706685	0.555503	1.68995	3.39395	2.50639	1.58025	0.151109	2.46519	0.375086	0.404723	0.252025	0.362974	0.264385	0.21632	0.0254562	0.00940008	0.169199	0.116227	0.288696	0.463742	0.707375	0.221275	0.243675	0.138272	0.396779	0.0011186	0.0487899	0.443803	3.50629	19.60124
40	-495.499	-443.617	-51.8818	0.227741	1.051799	1.974959	1.570016	0.310513	0.245865	0.30746	0.579032	1.86895	0.00708614	0.106063	0.0832214	0.471518	0.930491	0.392833	0.120178	0.126704	0.181304	0.260618	0.246638	0.545077	1.26474	0.536352	0.839994	1.32107	1.14513	0.190275	2.27545	0.336541	0.771213	0.339137	0.104302	0.98204	0.165816	0.011218	0.00419056	0.138772	0.160798	0.323938	0.470757	0.677209	0.135926	0.200986	0.216546	0.446541	0.00123139	0.0511548	0.452138	3.49548	17.2098
50	-493.212	-436.805	-56.4071	0.2772334	2.20511	2.317282	2.113404	0.791627	0.190294	0.838354	0.992221	1.63536	0.00736983	0.0377116	0.0650575	0.226629	0.535918	0.799332	0.111605	0.0923493	0.108057	0.103999	0.218596	0.453835	1.90173	1.393	0.356592	0.797706	1.91693	0.312045	2.16576	0.428555	0.41888	0.297778	0.136158	0.328966	0.238775	0.0067083	0.0190325	0.857583	0.256942	0.425198	0.556046	0.727417	0.308868	0.147417	0.242745	0.300969	0.00363063	0.0869467	0.555513	3.35391	18.78451
60	-481.66	-425.501	-56.1588	0.4070437	2.816787	5.198041	2.233049	0.268812	0.0681586	0.289056	0.568119	0.583024	0.00894585	0.0636553	0.0388595	0.151585	0.657826	0.343483	0.136119	0.0657862	0.0994328	0.145443	0.390901	1.43813	1.21644	0.738647	0.58005	1.56513	1.85761	0.167514	2.56075	0.318662	0.110294	0.525176	0.368586	0.161421	0.103062	0.0130191	0.0240371	1.22009	0.200525	0.323648	0.42472	0.575561	0.323956	0.0554906	0.308515	0.312038	0.0177436	0.186998	0.738792	3.05647	16.84783
70	-478.258	-427.524	-50.7341	0.391666	3.594321	4.503648	2.002891	0.127173	0.269495	0.482357	0.237662	0.429423	0.0234137	0.020138	0.0442169	0.0883374	1.0973	0.323629	0.0935486	0.0884072	0.175615	0.11451	0.635692	0.468555	1.75577	0.530717	0.484445	1.8754	1.71998	0.203142	0.587098	0.208607	0.0944732	0.339429	0.132867	0.0605608	0.0998483	0.0146302	0.0134497	1.43246	0.265551	0.40055	0.504186	0.649612	0.35541	0.0626817	0.347394	0.234514	0.0155307	0.175503	0.722102	3.08686	14.27236
80	-475.238	-428.866	-46.3722	0.5676826	1.466941	2.150695	2.098806	0.289477	0.119912	0.0857182	0.160362	1.11026	0.0190577	0.0304729	0.0370929	0.0493691	0.618137	0.562692	0.0637104	0.0900591	0.144738	0.0859497	0.150759	0.215444	2.28647	1.61234	1.04597	0.748189	2.1535	0.0806574	0.568985	0.077835	0.199454	0.33228	0.137829	0.0696236	0.122759	0.0088733	0.01544	1.02563	0.19652	0.362595	0.502859	0.694595	0.43286	0.0625728	0.159386	0.345181	0.0465186	0.293824	0.863891	2.79577	14.31904
90	-483.168	-432.189	-50.9797	0.2466871	1.155077	1.560543	2.201318	0.215997	0.0556017	0.350891	1.23694	1.90083	0.0204934	0.0337471	0.12469	0.0250542	0.321064	0.709467	0.0915873	0.0503223	0.092573	0.124873	0.206412	0.317581	0.862399	2.04479	2.47448	1.07638	1.06495	0.290964	0.539592	0.0154888	0.429129	0.130788	0.156943	0.0297322	0.220658	0.0126402	0.0235475	1.75582	0.192831	0.374209	0.528957	0.732037	0.307451	0.120242	0.398649	0.173658	0.00196094	0.0643081	0.494447	3.43928	17.00642
100	-475.205	-430.958	-44.247	0.3120089	1.895131	2.89328	2.571861	0.0959133	0.0870276	0.242257	0.400886	1.4127	0.0427961	0.0294891	0.184591	0.0180094	0.228692	0.782265	0.0481969	0.0749089	0.0391796	0.112143	0.308823	0.633554	0.532519	1.79796	0.558047	0.476745	1.46457	0.300263	1.30868	0.0518517	0.579643	0.211516	0.0748845	0.0289695	0.219503	0.00322864	0.01619	0.708407	0.204613	0.356904	0.483295	0.661114	0.296197	0.101596	0.454837	0.147369	0.00631991	0.113864	0.61543	3.26439	13.07441
110	-464.863	-426.943	-37.9197	0.4335765	1.2044	1.772626	2.959583	0.0993716	0.0200733	0.176712	0.165784	0.409262	0.0580125	0.0344714	0.098869	0.0351117	0.181452	0.14449	0.0304245	0.162313	0.0088688	0.185519	0.256154	0.472099	0.848906	2.53746	0.909551	0.200147	1.71764	0.53688	0.616271	0.0592046	0.257432	0.40573	0.0833861	0.0194383	0.319606	0.012156	0.0537036	0.217657	0.187117	0.361222	0.510982	0.71234	0.312099	0.0974274	0.416565	0.173909	0.0218413	0.206363	0.7652	3.0066	11.33415
120	-451.236	-417.043	-34.1927	0.4703869	1.963943	2.327858	3.72538	0.0934152	0.0535478	0.12903	0.0388419	0.435152	0.133392	0.0911674	0.0918633	0.0334541	0.77649	0.101814	0.0503389	0.0180244	0.0190374	0.0632525	0.251158	0.208662	1.29512	1.75534	1.18152	0.127001	0.709723	0.200776	0.129705	0.113616	0.664227	0.515696	0.0788624	0.0104371	0.179174	0.0106402	0.0218152	0.0560725	0.235203	0.401813	0.534914	0.71239	0.207368	0.115483	0.515404	0.161745	0.0280393	0.232144	0.797465	2.94235	9.638367
130	-448.363	-416.668	-31.6949	0.5720437	2.461361	4.074439	5.277721	0.0352135	0.0260056	0.104368	0.0497775	0.449009	0.0518867	0.0892277	0.0444437	0.0891923	0.334072	0.0937819	0.0730043	0.0511824	0.0204539	0.0421355	0.249563	0.150608	1.64862	0.409884	0.704384	0.170007	0.698319	0.0324934	0.327216	0.0607174	1.14787	0.523719	0.0256368	0.0140532	0.115022	0.0939302	0.0319626	0.0470934	0.207783	0.343432	0.454617	0.616213	0.315128	0.12911	0.502704	0.0530575	0.0473981	0.296371	0.866357	2.78987	8.004853
140	-443.579	-416.444	-27.1356	1.623314	2.822172	2.627854	3.278962	0.0322183	0.0357441	0.142283	0.0634052	0.311565	0.0206248	0.0961331	0.0181351	0.122328	0.349034	0.189795	0.127203	0.101742	0.0122108	0.0508209	0.238415	0.307102	1.70342	0.766322	0.280113	0.0769785	0.509948	0.0356604	0.272798	0.0981528	0.196837	0.360705	0.0293866	0.00431858	0.0293939	0.030796	0.189531	0.0329979	0.290406	0.453084	0.57506	0.733615	0.308187	0.159085	0.465628	0.0671002	0.243759	0.607873	1.05691	2.09146	6.836122
150	-426.368	-409.418	-16.9506	0.888498	3.029004	3.473323	6.706899	0.0200067	0.031409	0.14629	0.179701	0.105455	0.0091574	0.0591787	0.0227444	0.0772579	0.294764	0.305714	0.0451306	0.144396	0.00547748	0.0424455	0.271552	0.194584	0.647207	0.74746	0.126753	0.1023	0.493672	0.091098	0.085714	0.0962793	0.164965	0.268815	0.0582066	0.00378682	0.0302712	0.11801	0.150424	0.0547953	0.267206	0.415223	0.528911	0.684143	0.280785	0.175773	0.446376	0.0970661	0.114205	0.440466	0.978753	2.46658	5.195019
160	-428.986	-417.689	-11.2967	1.37907	2.651725	2.756683	6.842337	0.091422	0.0342185	0.240301	0.177171	0.0616028	0.0267328	0.0570797	0.0196218	0.11189	0.23183	0.162441	0.0553128	0.0445316	0.00577747	0.00814091	0.128176	0.189646	0.670592	0.570982	0.100355	0.0617884	0.163053	0.08097	0.438825	0.1694	0.0813276	0.0380193	0.0786589	0.00293316	0.0257221	0.160804	0.0428675	0.114321	0.271254	0.431168	0.553538	0.715705	0.281908	0.187019	0.448161	0.0829125	0.206022	0.567106	1.04245	2.18442	4.446515
170	-427.023	-419.919	-7.10431	1.146351	1.931976	1.241898	7.122331	0.0956114	0.0816375	0.0750782	0.283594	0.0572858	0.014639	0.0356478	0.0349059	0.103617	0.447707	0.11062	0.037685	0.00905193	0.0221156	0.0110877	0.118484	0.041916	0.494766	0.521659	0.1137	0.392641	0.0502115	0.0600426	0.434796	0.0856403	0.126168	0.0875863	0.0173552	0.00697549	0.0151741	0.113639	0.0297443	0.0766791	0.301483	0.501225	0.647444	0.816602	0.363064	0.194846	0.228415	0.213675	0.165196	0.516717	1.02057	2.29752	4.207462
180	-419.67	-413.339	-6.3309	0.9681492	2.08737	2.106555	7.521815	0.0472419	0.0544314	0.119518	0.16053	0.0448169	0.0243018	0.0170724	0.0481233	0.0757205	0.203669	0.12082	0.0527493	0.0508016	0.0206054	0.0261937	0.303849	0.148236	0.346244	0.602469	0.0761623	0.269868	0.0475601	0.090877	0.306583	0.220209	0.138001	0.258316	0.00721608	0.0217358	0.00332672	0.0488577	0.00960357	0.0323513	0.257884	0.431055	0.565552	0.739314	0.514025	0.116012	0.128969	0.240995	0.130556	0.466964	0.994515	2.40796	3.998061
190	-413.051	-413.353	0.301648	1.375529	1.356043	1.090061	10.07497	0.0459892	0.0488831	0.0557547	0.0512665	0.0788243	0.0278463	0.0301523	0.0315123	0.0295412	0.106237	0.13186	0.103056	0.0189448	0.0201875	0.0258489	0.172516	0.219757	0.409788	0.34364	0.0555093	0.126709	0.0530433	0.0943961	0.20791	0.303678	0.181675	0.190799	0.0227842	0.0781872	0.00447444	0.060325	0.00704811	0.0280283	0.248914	0.453848	0.613997	0.802888	0.452872	0.117152	0.199668	0.230308	0.205438	0.566436	1.04219	2.18593	3.366171
200	-401.845	-410.433	8.58851	1.668367	1.81174	2.037043	12.00099	0.0611419	0.0365092	0.0750911	0.0313417	0.00964473	0.083853	0.0479489	0.0129846	0.0126633	0.126481	0.120853	0.0201955	0.0105209	0.025812	0.0269295	0.0787466	0.117159	0.27123	0.325321	0.0457929	0.221488	0.0264627	0.0922216	0.175965	0.147585	0.102757	0.0187468	0.0270525	0.0157303	0.00731436	0.0463969	0.00909753	0.0120401	0.23605	0.409533	0.548047	0.729329	0.431793	0.0657499	0.270176	0.23228	0.250199	0.614376	1.05895	2.07647	2.443078
