Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-692.528	-688.671	-3.85722	0.5356811	9.676539	0.0302603	0.0064978	0.296132	0.170839	0.00112926	0.164293	0.162757	0.0789207	0.0552981	0.127419	0.0180545	0.00179683	0.0377024	0.116558	0.085766	0.0843816	0.265791	0.124031	0.37401	0.0149496	0.0306689	0.252388	0.03739	0.00572001	0.0223738	0.0578141	0.044491	0.173984	0.059535	0.26291	0.35775	0.396956	0.041038	0.0401766	0.274573	0.84459	2.84066	3.959606
10	-440.758	-432.285	-8.47334	1.105241	9.047909	0.0453594	0.00428059	0.254619	0.188068	0.000545295	0.0548104	0.132052	0.0333588	0.0801944	0.445655	0.00627639	0.00414235	0.0225353	0.0634289	0.139711	0.0920868	0.265786	0.431931	0.608474	0.0436585	0.0897947	0.170034	0.0338175	0.0187907	0.0188213	0.254532	0.0172765	0.169527	0.160721	0.222233	0.124923	0.215218	0.0381948	0.157461	0.50625	1.01546	2.32083	4.450855
20	-422.204	-412.42	-9.78375	2.231956	7.981596	0.0275359	0.0125365	0.0802638	0.224813	0.00300945	0.0086429	0.0453585	0.0661304	0.127245	0.341439	0.023706	0.00865707	0.0433844	0.0444471	0.0794059	0.104056	0.0964509	0.541108	0.587588	0.0280853	0.105199	0.0496527	0.0268288	0.0168935	0.0210815	0.584918	0.024431	0.126058	0.112993	0.26804	0.120767	0.578826	0.0472079	0.319476	0.677611	1.07484	1.92807	4.57676
30	-417.622	-413.714	-3.90831	1.694021	11.12259	0.0225488	0.0702234	0.0804301	0.106733	0.00205308	0.00439686	0.0325067	0.020308	0.0950433	0.258695	0.0198645	0.00418471	0.123015	0.0380804	0.0337767	0.157571	0.112662	0.260282	0.83847	0.0232709	0.102044	0.012839	0.0693574	0.0200514	0.0196469	0.351867	0.065652	0.0366315	0.063473	0.26224	0.147548	0.223503	0.0535117	0.253799	0.617959	1.06004	2.0682	3.732481
40	-412.208	-409.442	-2.76572	0.5397874	7.858379	0.00282864	0.0352104	0.0462572	0.0512585	0.00940089	0.00506686	0.0307158	0.0147198	0.0459822	0.335213	0.0463689	0.00285142	0.0703449	0.0529724	0.0300842	0.228728	0.178257	0.280663	0.707556	0.0227747	0.170819	0.008403	0.0364339	0.0097694	0.00750807	0.620228	0.0510232	0.0903041	0.12982	0.214892	0.109164	0.230247	0.0327291	0.0409784	0.277099	0.847191	2.83473	3.908594
50	-397.978	-408.39	10.4128	1.57378	12.18128	0.00296502	0.0240145	0.0432109	0.0562066	0.00232746	0.0043474	0.0146276	0.0109814	0.0234241	0.412885	0.0187189	0.00178936	0.0522435	0.0545422	0.0275049	0.141722	0.0967962	0.260529	0.281575	0.0251096	0.106144	0.0136257	0.0414136	0.005834	0.00918075	0.320297	0.0233181	0.0190164	0.0535051	0.111803	0.0624122	0.139756	0.00939814	0.236498	0.600393	1.05448	2.10863	2.471224
60	-397.438	-408.47	11.032	1.589747	15.7214	0.00170913	0.037749	0.0663903	0.0350985	0.000518912	0.0266098	0.0161061	0.0121142	0.0725097	0.226998	0.0540528	0.00112156	0.089721	0.0328625	0.0414049	0.131852	0.0633252	0.384908	0.20373	0.0158231	0.0191084	0.0129069	0.0798557	0.014017	0.00549432	0.296843	0.0145739	0.0504519	0.0178227	0.0778068	0.103345	0.14549	0.0125152	0.238859	0.602844	1.05528	2.10301	2.364836
70	-406.59	-417.994	11.4042	2.054937	13.37045	0.0114986	0.0667467	0.0616846	0.0355702	0.000559535	0.0235391	0.0163891	0.00443536	0.0783793	0.272389	0.0503416	0.000926581	0.112942	0.0306888	0.0501511	0.109398	0.141768	0.27907	0.144524	0.0230504	0.0211177	0.00484942	0.0871121	0.0107708	0.00796132	0.279321	0.00853299	0.0371708	0.0222987	0.0461286	0.0717817	0.217665	0.0246484	0.299746	0.660731	1.07131	1.96822	2.353412
80	-393.582	-408.916	15.3332	0.5659956	13.86824	0.00722579	0.0206974	0.0540797	0.1254	0.00104391	0.0177105	0.0141344	0.0130112	0.0597313	0.116609	0.0164267	0.00133722	0.106832	0.0142775	0.0375244	0.0963462	0.129731	0.243237	0.20059	0.0263732	0.0370516	0.00896505	0.0862423	0.0184231	0.0106513	0.275789	0.00435176	0.0221748	0.0322943	0.0428951	0.0792924	0.234185	0.0181608	0.0461793	0.292834	0.862927	2.79806	2.172795
90	-401.852	-408.304	6.45159	0.4260643	8.139626	0.00741986	0.0417675	0.0421138	0.262869	0.000927363	0.00488621	0.0208597	0.0222366	0.0399359	0.276475	0.035183	0.00227486	0.0765516	0.0060343	0.054876	0.103261	0.139845	0.408193	0.280427	0.0145333	0.0406398	0.0118344	0.0928146	0.00707608	0.0260688	0.395011	0.00427615	0.00616395	0.0823881	0.0444154	0.0391718	0.187586	0.0126483	0.0206471	0.200944	0.758012	3.0204	2.790766
100	-398.953	-406.318	7.365	0.4779373	10.18915	0.0114298	0.0599974	0.122794	0.0980316	0.00315732	0.00292861	0.0142073	0.0355252	0.0351143	0.186524	0.128747	0.00176562	0.0575626	0.00717168	0.0582005	0.075517	0.105996	0.373742	0.291931	0.0241132	0.06333	0.0156876	0.051789	0.00486597	0.00565296	0.36651	0.00343194	0.00462314	0.0490179	0.141954	0.0594158	0.326565	0.0344954	0.029375	0.237269	0.803526	2.92983	2.821796
110	-399.092	-403.416	4.32354	0.4844801	14.49946	0.0130293	0.0734057	0.093051	0.0264334	0.0134261	0.0043098	0.00304367	0.0295663	0.0632153	0.0770781	0.334069	0.00382596	0.0484993	0.0165947	0.0846452	0.0602105	0.0854015	0.183266	0.238848	0.00997474	0.0306709	0.0170367	0.0282525	0.00622003	0.00709204	0.646672	0.00563201	0.0060509	0.121814	0.320383	0.0500892	0.202641	0.031287	0.0305485	0.241663	0.808639	2.91915	2.935735
120	-408.359	-413.873	5.51406	1.161286	9.190182	0.0179204	0.11259	0.0668712	0.0125359	0.118258	0.00331898	0.00187217	0.0205926	0.0843328	0.0640408	0.369316	0.0036044	0.0126044	0.0284843	0.0565275	0.136672	0.10545	0.265609	0.103631	0.005764	0.0663488	0.0646156	0.00328784	0.00899165	0.0359201	0.519633	0.0319317	0.00928193	0.0822578	0.18833	0.0723182	0.0998812	0.133993	0.167967	0.520388	1.02232	2.28933	2.906787
130	-405.28	-407.755	2.47448	0.7773027	11.88464	0.00628063	0.0165376	0.0240373	0.0108675	0.111267	0.00427642	0.00162759	0.00581351	0.100275	0.0628152	0.248315	0.00700984	0.0124134	0.0227237	0.0646359	0.0604722	0.131463	0.307647	0.430985	0.00172781	0.0458962	0.0914293	0.00712665	0.00824093	0.0237398	0.704039	0.0318718	0.00634545	0.0709459	0.253169	0.0638761	0.222235	0.0443032	0.0907206	0.397833	0.950462	2.56098	3.204409
140	-391.768	-408.699	16.9307	0.5764826	13.55769	0.0165458	0.00702696	0.030102	0.00757058	0.122553	0.00313849	0.00161216	0.00324707	0.016195	0.0425812	0.266305	0.0133757	0.0050991	0.00838342	0.0690205	0.0286039	0.0766017	0.295375	0.142643	0.0132196	0.0250962	0.0460459	0.0060367	0.018142	0.0187969	0.323552	0.0165604	0.00109266	0.0462536	0.114338	0.0649113	0.109606	0.093788	0.0482967	0.298944	0.86883	2.78393	2.053418
150	-394.493	-403.333	8.84032	0.4690328	12.67871	0.0105328	0.037159	0.0350766	0.00912606	0.0704257	0.00739427	0.00491315	0.00110747	0.0228497	0.0902535	0.131767	0.018922	0.02486	0.0474909	0.0683014	0.0560305	0.091417	0.281861	0.0405123	0.0619835	0.0226389	0.049432	0.000770467	0.048623	0.0188882	0.574235	0.040306	0.000821833	0.19471	0.0546066	0.0979405	0.349144	0.117655	0.0278019	0.231219	0.796359	2.94462	2.681756
160	-403.532	-404.562	1.03001	0.6051982	8.769234	0.0308871	0.0709044	0.0226492	0.00542936	0.0797839	0.0161312	0.00677338	0.006558	0.0270249	0.0909019	0.17537	0.00368933	0.0190194	0.0795833	0.0900892	0.074548	0.12735	0.316503	0.0344404	0.0756133	0.0445989	0.0614574	0.000471617	0.0187366	0.104515	0.909338	0.0349439	0.00176877	0.405951	0.0411511	0.0167853	0.282727	0.178541	0.0541819	0.315149	0.883948	2.74672	3.454233
170	-397.708	-407.218	9.5102	1.16568	11.12221	0.0223302	0.0389078	0.065397	0.00736186	0.0601102	0.0320294	0.00477061	0.012893	0.0207751	0.0873159	0.31481	0.0172025	0.0141865	0.040612	0.0823635	0.105201	0.0753791	0.364806	0.0626619	0.0680929	0.0444926	0.0690228	0.000363942	0.00410474	0.0244848	0.36366	0.00677097	0.00370122	0.188613	0.0145951	0.0248605	0.205933	0.125747	0.168779	0.521454	1.02282	2.28695	2.573556
180	-392.852	-402.493	9.64067	1.985656	10.21166	0.0718514	0.0826474	0.0691355	0.00359046	0.117235	0.00807838	0.00377727	0.00790795	0.0107546	0.165753	0.0665455	0.0206186	0.0057913	0.0122812	0.0532647	0.184912	0.109655	0.300778	0.132087	0.0573089	0.0582579	0.112949	0.00213438	0.00820034	0.0226979	0.25747	0.0132841	0.00244767	0.115803	0.0157155	0.0522087	0.188158	0.11847	0.291556	0.65348	1.06963	1.98534	2.45177
190	-405.908	-404.347	-1.5615	1.142395	6.909303	0.032217	0.0859842	0.0645492	0.00230706	0.0843099	0.00483575	0.00699418	0.00680603	0.00349349	0.337193	0.0577118	0.0195026	0.00742422	0.0342958	0.0375592	0.140805	0.216161	0.5897	0.147143	0.171082	0.122458	0.0863432	0.000922589	0.0147715	0.0421273	0.391113	0.0689392	0.0084556	0.211105	0.038023	0.141903	0.133305	0.287163	0.164459	0.515733	1.0201	2.29971	3.596705
200	-401.274	-402.547	1.27278	0.8383295	10.02965	0.0705289	0.0386832	0.101211	0.00531101	0.169602	0.00397208	0.00436768	0.00794489	0.00149749	0.0766529	0.122879	0.022413	0.0253812	0.00684484	0.0392736	0.135222	0.136346	0.227014	0.206459	0.0787319	0.0445895	0.0887949	0.00197349	0.0248528	0.0467662	0.683754	0.0232527	0.0241593	0.217116	0.0577515	0.205693	0.291479	0.198909	0.103685	0.42212	0.967035	2.50716	3.389428
210	-394.441	-404.74	10.2988	0.4380721	10.32822	0.0142758	0.0738267	0.0561338	0.00615299	0.0709731	0.00962294	0.00583591	0.055704	0.00893743	0.0504882	0.126168	0.00927667	0.0301661	0.00291769	0.0173113	0.134727	0.0780722	0.135958	0.253338	0.0254396	0.0695138	0.0515563	0.00166234	0.0328421	0.0585411	0.509249	0.0258823	0.0122874	0.314587	0.0435053	0.0490681	0.153661	0.0565464	0.0225681	0.209581	0.769399	2.99845	2.544228
220	-399.06	-406.646	7.58598	0.6128546	13.8007	0.0178529	0.112152	0.0782411	0.00180967	0.067558	0.0142103	0.00127616	0.0496384	0.0108508	0.112932	0.0430245	0.00361782	0.0913797	0.00248771	0.0364265	0.154363	0.107637	0.164181	0.215036	0.0166554	0.13255	0.0421114	0.00304184	0.106514	0.0364642	0.247447	0.0215281	0.00681438	0.345375	0.053248	0.023264	0.199041	0.211972	0.0557697	0.319342	0.887738	2.73715	2.7307
230	-391.456	-402.779	11.3226	0.4426648	16.70726	0.0173416	0.0315813	0.0742938	0.000775398	0.109193	0.0353085	0.00452089	0.0403113	0.00691823	0.167952	0.0225864	0.000686244	0.0326896	0.000941324	0.0597927	0.146808	0.0867031	0.207026	0.222272	0.0237113	0.140488	0.0480732	0.00219723	0.0818589	0.0234424	0.250442	0.0234875	0.00404596	0.146657	0.105267	0.0338452	0.187105	0.0465634	0.0233197	0.212849	0.77361	2.99022	2.384885
240	-388.619	-398.466	9.84753	0.9927781	13.76809	0.00823912	0.0358456	0.108745	0.00159701	0.0342923	0.0417613	0.00833127	0.027881	0.0125212	0.152906	0.028007	0.000445054	0.0164954	0.000488544	0.0477917	0.130213	0.0655125	0.31907	0.281655	0.0910674	0.127324	0.0440656	0.00200628	0.101722	0.0260317	0.3333	0.0066704	0.00464486	0.101079	0.133666	0.0403209	0.179497	0.0269221	0.135511	0.47457	0.998793	2.39113	2.540116
250	-401.13	-403.532	2.4014	1.723416	14.21905	0.0133028	0.0558232	0.112	0.0027384	0.0494949	0.0416307	0.00872466	0.0177766	0.00207684	0.561556	0.0197371	0.000226742	0.0204102	0.000603201	0.0437543	0.104963	0.127151	0.520579	0.26942	0.0725147	0.0919271	0.111633	0.00111449	0.0567222	0.0162868	0.261242	0.0160218	0.0050974	0.0422914	0.037403	0.130503	0.157481	0.0280925	0.257866	0.621962	1.06123	2.05894	3.000299
260	-400.023	-406.258	6.23529	1.012227	10.20708	0.0134706	0.010533	0.0595847	0.00554525	0.03921	0.0145506	0.00971786	0.0133479	0.00380203	0.404581	0.0625059	0.000280159	0.0365453	0.00056191	0.0603631	0.0893242	0.202603	0.422916	0.153867	0.0559056	0.115634	0.111994	0.0012607	0.109707	0.086505	0.417359	0.00632103	0.00501998	0.0615758	0.0156956	0.0416874	0.193237	0.0552952	0.139387	0.480396	1.002	2.37822	2.880507
270	-398.195	-407.579	9.3835	0.6729676	12.84056	0.00893401	0.012048	0.148955	0.00426855	0.0189794	0.0181504	0.0193959	0.00905384	0.00881314	0.276507	0.111084	0.000689412	0.0392694	0.000359169	0.0543058	0.0469161	0.129625	0.239314	0.0866431	0.0260215	0.0856226	0.0711176	0.00206207	0.165057	0.0820859	0.55693	0.0152436	0.00558313	0.0528336	0.0758954	0.0612516	0.148045	0.0387891	0.0684261	0.350491	0.914424	2.66666	2.619848
280	-400.576	-403.663	3.08713	0.6867161	8.379841	0.00450324	0.0177435	0.0354009	0.0389904	0.0362101	0.0419453	0.0185913	0.0131656	0.00624599	0.316172	0.153986	0.000939123	0.0293755	0.00160809	0.0699477	0.0548226	0.0766131	0.34686	0.156458	0.019586	0.149738	0.0609372	0.00144872	0.132366	0.204091	0.708693	0.0750796	0.00725205	0.173896	0.0194116	0.0242365	0.152335	0.04131	0.0713534	0.357194	0.919845	2.65161	3.189958
290	-399.334	-407.363	8.02931	0.6256355	14.22445	0.00966435	0.0336806	0.0168988	0.0319626	0.0380545	0.0654695	0.032506	0.0122985	0.00992551	0.429297	0.0831417	0.000643959	0.0263582	0.00695096	0.0188154	0.121962	0.135493	0.180141	0.139304	0.0378423	0.0817663	0.0762502	0.00726457	0.0849881	0.120471	0.227239	0.0292467	0.0194972	0.292931	0.0169516	0.046236	0.130567	0.117672	0.0584347	0.326225	0.893854	2.72149	2.681491
300	-386.432	-401.657	15.2251	0.5548769	12.31892	0.00433279	0.0591082	0.0454121	0.0237898	0.0613569	0.0346138	0.0198657	0.00611587	0.00782726	0.118491	0.0816151	0.000332099	0.0165346	0.0205447	0.0189387	0.0596753	0.111885	0.236743	0.154396	0.0211847	0.0425671	0.0856536	0.0231367	0.0342118	0.0598467	0.335388	0.0311868	0.0180673	0.17839	0.0126389	0.042013	0.089859	0.10782	0.043956	0.28624	0.856429	2.81338	2.163541
310	-392.067	-405.487	13.4194	0.3719341	9.021319	0.00426178	0.0402368	0.0280489	0.0323652	0.0669108	0.0359224	0.00468829	0.00525339	0.0030551	0.0487637	0.125346	0.00040195	0.0194544	0.043473	0.0399746	0.0779651	0.0468261	0.274439	0.14959	0.0727441	0.0277383	0.0483629	0.00649638	0.0118419	0.14036	0.350474	0.03929	0.0073349	0.158752	0.0289716	0.0259075	0.0484022	0.0946539	0.0128824	0.160501	0.699032	3.12759	2.108305
320	-393.035	-408.768	15.7328	0.7476017	12.75751	0.0014257	0.0816644	0.163764	0.0169085	0.103246	0.0212771	0.00123538	0.00889704	0.0011715	0.028222	0.0683814	0.000501878	0.0944107	0.0338331	0.044166	0.0776351	0.0385103	0.207824	0.239304	0.0325923	0.0291106	0.0566812	0.0160782	0.0164561	0.0996093	0.30113	0.0196333	0.00523144	0.143916	0.00307836	0.0269467	0.101389	0.0336478	0.0843714	0.38515	0.941307	2.58917	2.117879
330	-392.216	-402.849	10.6334	1.25837	11.75329	0.00260822	0.0566598	0.0645021	0.0559987	0.072816	0.0175287	0.00340956	0.0212543	0.00284159	0.0818439	0.039999	0.000359417	0.0827678	0.040703	0.0289863	0.128453	0.0764868	0.227858	0.258352	0.0624568	0.0679135	0.0411158	0.0186445	0.0288772	0.223731	0.259787	0.0189433	0.00882141	0.219592	0.00281943	0.0155115	0.209385	0.0351163	0.185471	0.542683	1.0324	2.23944	2.476142
340	-398.481	-407.569	9.08831	2.793135	13.85884	0.0147201	0.035794	0.0458711	0.060199	0.0913253	0.0225236	0.0060328	0.051375	0.00310983	0.0325577	0.11541	0.00060876	0.0604417	0.0380057	0.0445993	0.143168	0.131887	0.353421	0.211201	0.00986407	0.0169559	0.0348738	0.019225	0.0341769	0.135681	0.320835	0.076306	0.0635496	0.114389	0.00666944	0.0151659	0.142478	0.0102722	0.372597	0.719391	1.08128	1.82673	2.462693
350	-402.647	-407.227	4.58015	2.302051	9.999119	0.0184795	0.0405646	0.0278053	0.0482591	0.125168	0.0161487	0.0044613	0.0529272	0.00752944	0.134692	0.106032	0.00177069	0.0877923	0.0295616	0.0946573	0.074902	0.0828131	0.16716	0.165169	0.0773342	0.0162366	0.0345341	0.0594778	0.0512218	0.365056	0.337226	0.0350583	0.0661038	0.346767	0.0196753	0.0428626	0.130241	0.0454857	0.326848	0.683717	1.07599	1.91345	2.913174
360	-406.97	-406.587	-0.38366	1.721368	8.109896	0.0566937	0.0960871	0.00869139	0.0181253	0.128641	0.0201858	0.00212095	0.0387516	0.0240874	0.196854	0.367988	0.00156878	0.0467433	0.0242792	0.0128353	0.0903256	0.118778	0.331342	0.141328	0.108317	0.0187178	0.0411182	0.0244139	0.0384015	0.281154	0.172196	0.0220234	0.0189544	0.692452	0.0182564	0.141037	0.13947	0.0280113	0.257584	0.621687	1.06115	2.05958	3.469949
370	-406.76	-409.293	2.53273	1.395779	9.156339	0.11399	0.0977175	0.0088871	0.00884833	0.219785	0.027304	0.00850561	0.0069705	0.00664694	0.299092	0.12445	0.00574963	0.0700999	0.0225536	0.0566328	0.0679971	0.0931771	0.291734	0.0343254	0.0554614	0.0196407	0.0527986	0.0221117	0.0647218	0.452736	0.141001	0.0091944	0.0635261	0.414392	0.0325865	0.0998734	0.1482	0.0642558	0.208764	0.570237	1.04367	2.17733	3.204966
