Iteration	Posterior	Likelihood	Prior	age_extant	age_Kretzoiarctos_beatrix	alpha_cytb	alpha_morpho	alpha_ofbeta	beta_ofbeta	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	cats[1]	cats[2]	cats[3]	cats[4]	clock_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	fossil[1]	fossil[2]	fossil[3]	fossil[4]	fossil[5]	fossil[6]	fossil[7]	fossil[8]	fossil[9]	fossil[10]	fossil[11]	fossil[12]	fossil[13]	fossil[14]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	turnover
0	-7683.49	-7484.69	-198.796	36.90662	11.7	1.103354	0.79125	0.527327	1.163594	0.0460281	0.00131061	0.0123479	0.110094	0.0155171	0.0423638	0.278563	0.0293184	0.0365078	0.00998165	0.0359315	0.0232867	0.138258	0.131722	0.0240532	0.193515	0.164509	0.259837	0.067128	0.132908	0.046925	0.00673653	0.0185644	0.008327	0.202043	0.081225	0.127809	0.0109878	0.0128151	0.00779519	0.0561456	0.00445439	0.035395	0.0805797	0.00788977	0.0160623	0.0873186	0.0260361	0.128457	0.00035215	0.0379478	0.0211198	0.06711319	0.133775	0.313092	0.48665	0.721708	0.4865165	0.01906334	0.248909	0.0766836	0.258714	0.132709	0.225133	0.0578512	0.001079166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20558	0.191034	0.257065	0.346321	0	46.03807	0.1692133	0.157102	0.505756	1.01522	2.32193	0.0936955	0.403587	0.954501	2.54822	0.184492	0.51564	0.139081	0.160787	0.02014251	5	7.7	0.5	14	9.6	5.1	8.7	11.7	36.6	16.2	14.4	4.3	0.06	21.9	0.05357657
10	-4550.38	-4516.57	-33.8085	35.88439	11.7	0.4980219	0.7941339	0.6264533	0.6973533	0.00353885	0.000936897	0.0062963	0.0149714	0.00584347	0.0239092	0.0106902	0.00855358	0.00625737	0.00223691	0.00344208	0.00576958	0.0239975	0.108677	0.00227147	0.0187521	0.0078673	0.0248812	0.0336121	0.0569028	0.0371444	0.00199463	0.00278879	0.00347318	0.0236174	0.0065743	0.00781943	0.000688846	0.00468868	0.000990402	0.00429195	0.00115104	0.0056385	0.0110998	0.00109791	0.00312671	0.0116559	0.00545009	0.0842034	8.75778e-05	0.0289952	0.0117941	0.01625729	0.179053	0.393385	0.581431	0.803469	0.04473473	0.02647539	0.0681726	0.113565	0.106301	0.0225453	0.663473	0.0259427	0.001752298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132499	0.113795	0.430081	0.323626	7	41.91854	0.03838796	0.0330217	0.250623	0.818824	2.89753	0.0943099	0.404762	0.955316	2.54561	0.224142	0.288148	0.214616	0.273093	0.02822768	5	7.9451	0.705944	22.4747	9.64757	5.1	8.50219	11.7	37.1537	16.2	14.4	4.4633	0.06	21.9	0.06207728
20	-4343.14	-4357.51	14.3628	39.68583	11.7	0.2037705	0.3496119	0.5081273	1.659799	0.00451696	0.00201071	0.00941031	0.012955	0.00838777	0.022805	0.00477631	0.00635747	0.00903945	0.00381982	0.0066206	0.0147322	0.0232507	0.0367237	0.00220194	0.00567228	0.0065113	0.00958045	0.0265234	0.0186848	0.0108202	0.00303967	0.00167436	0.00281991	0.00739087	0.0031713	0.00800436	0.000732102	0.0060413	0.00100107	0.00161953	0.0026711	0.00571896	0.0126169	0.000319228	0.00486986	0.00541903	0.0040448	0.0170071	0.000173901	0.0176535	0.0114752	0.009019998	0.109996	0.263817	0.420622	0.65293	0.02919466	0.02661242	0.0324959	0.173177	0.0808259	0.0208753	0.672622	0.0200039	0.006270062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0340673	0.0684865	0.513543	0.383903	9	41.94158	0.03109418	0.000603589	0.0359787	0.393427	3.56999	0.010166	0.143253	0.670448	3.17613	0.269571	0.302016	0.180154	0.248258	0.03288248	7.21664	7.06833	1.41585	22.4747	5.66344	5.1	8.50219	11.7	37.1389	16.4987	14.4	5.05596	0.143299	21.9	0.1906809
30	-4233.78	-4245.6	11.8242	38.98223	11.7745	0.2153836	1.202666	0.1614912	0.814184	0.00560794	0.00224906	0.00589963	0.0116217	0.00651822	0.0104966	0.00823439	0.00502096	0.00584313	0.00473884	0.00897625	0.0112941	0.0298251	0.0217849	0.00486365	0.011546	0.00417534	0.00567013	0.033414	0.0379095	0.0142181	0.00484016	0.00111805	0.00616208	0.00940445	0.00588916	0.00724884	0.000778406	0.00696745	0.00102982	0.00552597	0.00452885	0.00208225	0.0157864	0.000794866	0.0146343	0.00576407	0.00572191	0.0244363	0.000817004	0.0111732	0.0163566	0.01010787	0.0967793	0.272493	0.464214	0.727829	0.02786924	0.02932825	0.00431946	0.497117	0.0267394	0.0137385	0.455842	0.00224372	0.02077943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112514	0.179652	0.404502	0.303331	8	40.79492	0.0269841	0.000869742	0.0430949	0.422604	3.53343	0.175536	0.530211	1.02687	2.26738	0.282143	0.299093	0.132574	0.286191	0.05010767	7.74809	8.13422	1.41585	22.5566	8.4525	7.84752	8.33528	11.7745	35.4628	16.8793	14.1942	5.10421	0.143299	22.7756	0.4146955
40	-4181.87	-4202.36	20.4957	38.70896	11.79898	0.1854289	1.734187	0.4152999	0.8217434	0.00461564	0.00502673	0.00805343	0.0192377	0.00455944	0.00726707	0.00402985	0.00461289	0.00547036	0.00760493	0.0119434	0.0100724	0.00833222	0.0103548	0.00347957	0.00468	0.00280651	0.00479771	0.0200865	0.00736279	0.0159834	0.0100709	0.00253282	0.00571861	0.0189873	0.00522682	0.00360971	0.00097245	0.00483367	0.00075234	0.00107853	0.00423918	0.00243668	0.00594845	0.00318613	0.0034954	0.0124223	0.00949658	0.0383479	0.000557096	0.00986709	0.0029204	0.007421827	0.136518	0.331385	0.519812	0.761165	0.03039525	0.05199741	0.00357333	0.605592	0.00954534	0.0151261	0.363304	0.00285924	0.05631631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0800898	0.0794066	0.745182	0.0953213	6	43.0048	0.04731536	0.000308725	0.0258149	0.344573	3.6293	0.25934	0.623402	1.06165	2.0556	0.295989	0.301171	0.124904	0.277936	0.1083137	7.51817	8.165	1.52543	22.5566	9.04445	8.07284	8.51203	11.799	37.1371	16.559	14.1942	5.10421	0.143299	22.7756	0.519937
50	-4138.31	-4152.73	14.4203	41.73268	11.79898	0.1796155	0.9113254	0.3468016	0.9038583	0.00268	0.00420493	0.00856234	0.0124459	0.00969115	0.0137138	0.00631516	0.00562349	0.0194125	0.00759523	0.026313	0.00543263	0.0056853	0.00649039	0.00429963	0.00469939	0.00746516	0.00483073	0.0306172	0.0310884	0.0109478	0.00627511	0.000783096	0.00219856	0.0111264	0.00348992	0.00706073	0.000677749	0.00829185	0.0021229	0.0037714	0.00520357	0.00418691	0.0114243	0.00392254	0.00749797	0.0118868	0.00325223	0.0198328	0.00233612	0.00277459	0.00448481	0.007610951	0.121042	0.305619	0.491495	0.739109	0.02208651	0.03372803	0.00877884	0.535776	0.009072	0.00927479	0.435305	0.00179325	0.06922048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0924841	0.0903115	0.556772	0.260433	5	41.80247	0.07163956	0.000242571	0.0229049	0.328409	3.64844	0.118939	0.448374	0.983599	2.44909	0.287383	0.313429	0.127322	0.271867	0.1029485	7.51817	8.19431	1.52543	22.5566	9.65336	8.59909	7.83999	11.799	37.1635	16.559	14.1942	3.92582	0.143299	22.7756	0.6723796
60	-4151.43	-4161.32	9.88843	39.14716	11.79898	0.1717758	4.438664	0.3011344	0.8762818	0.00127958	0.00374526	0.0134154	0.00861891	0.00894366	0.00847054	0.00594519	0.00663105	0.0155396	0.00718198	0.0314961	0.00957455	0.00520544	0.00365808	0.00297474	0.00629592	0.00647062	0.00739863	0.00776116	0.0132204	0.00936246	0.00519939	0.000746467	0.00531987	0.0166813	0.00221113	0.0190888	0.000321504	0.00573807	0.00132267	0.00430103	0.00224233	0.00226824	0.00476352	0.00423711	0.010856	0.00804118	0.000985706	0.0248422	0.00186441	0.0128103	0.00170374	0.006472012	0.115479	0.298656	0.486285	0.737559	0.01571859	0.0400308	0.00943326	0.497781	0.00736433	0.00604872	0.478681	0.000691267	0.06269075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077273	0.507222	0.186017	0.229488	4	43.45004	0.03819428	0.000170744	0.0192413	0.306132	3.67446	0.476949	0.789132	1.08411	1.64981	0.301243	0.286141	0.135176	0.27744	0.1027215	7.3069	8.19431	1.52543	22.5566	9.69451	7.9385	7.83999	11.799	37.178	16.2641	14.7661	3.67543	0.143299	22.7756	0.6102979
70	-4131.63	-4148.83	17.1927	41.90986	11.79898	0.1672756	2.97666	0.1340826	0.2556604	0.000233256	0.00555992	0.0086783	0.0114489	0.0070438	0.00581013	0.00200131	0.00485386	0.0075538	0.00726117	0.0213417	0.0212716	0.0100109	0.00314067	0.00487582	0.0127153	0.00457881	0.00310285	0.00874674	0.0101956	0.0119466	0.0092427	0.0122758	0.0015006	0.0172241	0.00373848	0.0218941	9.51638e-05	0.00484076	0.000330954	0.000740822	0.00303656	0.0023392	0.0129461	0.00522245	0.00957724	0.0257563	0.00107783	0.00558518	0.00114301	0.0183756	0.000659467	0.007781564	0.128522	0.355423	0.580882	0.833423	0.01666252	-0.003525117	0.00749368	0.469495	0.0145416	0.00450731	0.501485	0.00247763	0.09926077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0548271	0.585256	0.14192	0.217998	5	42.43472	0.04496752	0.000137511	0.0172796	0.293111	3.68947	0.387448	0.730227	1.0824	1.79993	0.320992	0.296018	0.130364	0.252627	0.09573565	5.98709	8.12604	1.52543	18.2333	9.69451	9.12386	7.83999	11.799	37.178	16.3388	13.7691	4.23773	0.143299	22.7756	1.036821
80	-4134.87	-4158.59	23.7156	41.84474	11.79898	0.165059	1.355015	0.1666591	0.2733756	0.000319347	0.0113559	0.0130376	0.0131411	0.00443276	0.00346271	0.00277581	0.00395049	0.00465018	0.00640673	0.0108485	0.0374638	0.00186814	0.000286204	0.00338433	0.00656711	0.00905849	0.00844734	0.00996493	0.00609448	0.00341747	0.0104166	0.0183087	0.00287004	0.0223491	0.00672195	0.0145229	4.41846e-05	0.00216474	9.35693e-05	0.0027339	0.00356623	0.0042842	0.00555693	0.00331332	0.0101316	0.00855374	0.000752095	0.00934918	0.00264344	0.0132948	0.00710728	0.007830659	0.133495	0.361243	0.584226	0.833565	0.02068073	0.01328625	0.00638341	0.539875	0.0160154	0.00166158	0.419172	0.0168917	0.0906317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151126	0.197955	0.489655	0.161264	6	43.59386	0.04584606	0.000123067	0.0163525	0.28664	3.69688	0.202032	0.562499	1.04064	2.19483	0.319653	0.303243	0.130202	0.246901	0.103918	5.98709	8.14186	1.52543	14.1695	8.54553	9.68708	7.83999	11.799	35.9132	16.6797	15.4401	3.86633	0.143299	22.7756	0.8721467
90	-4142.59	-4161.45	18.8555	39.73704	11.79898	0.1616712	1.558943	0.220796	0.2547735	0.000229271	0.0130211	0.0142055	0.00931661	0.00638152	0.00163983	0.0120966	0.00707411	0.00621756	0.00529961	0.00843748	0.0250657	0.00217592	0.0012599	0.00208192	0.011363	0.010501	0.0137442	0.0156352	0.00443481	0.00178644	0.00863164	0.0219275	0.00102271	0.0103774	0.00970972	0.0154413	0.000101497	0.00729433	7.08988e-05	0.00235372	0.0043165	0.00502887	0.00647112	0.00231913	0.00398579	0.0104786	0.000805462	0.0111913	0.00153005	0.0103123	0.00665722	0.00820909	0.146158	0.380698	0.602237	0.843458	0.02383584	0.04935257	0.0108067	0.476434	0.0081788	0.00037643	0.501727	0.00247726	0.07774241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12489	0.486559	0.300621	0.0879298	6	43.7208	0.03264909	0.000103258	0.0149864	0.276681	3.70823	0.234286	0.598082	1.0537	2.11393	0.31415	0.294845	0.122867	0.268138	0.127095	6.07338	7.70485	0.362822	14.073	5.87348	9.67551	7.83999	11.799	37.1982	16.633	15.4401	3.83481	0.143299	22.1342	0.6116875
